symbol,isin,fmv_31jan2018
PFC,INE134E07588,1145.5
PFC,INE134E07190,1095.01
PFC,INE134E07463,1274.99
PFIZER,INE182A01018,2349
PFOCUS,INE367G01038,111
PFS,INE560K01014,35.4
PGEL,INE457L01011,408.5
PGHH,INE179A01014,9364.75
PGIL,INE940H01014,127.7
PHILIPCARB,INE602A01015,1295
PHOENIXLTD,INE211B01039,665
PIDILITIND,INE318A01026,898.5
PIIND,INE603J01030,914.8
PILANIINVS,INE417C01014,3042
PILITA,INE600A01035,16
PINCON,INE675G01018,36.05
PIONDIST,INE889E01010,201.65
PIONEEREMB,INE156C01018,40.9
PITTILAM,INE450D01021,87.5
PKTEA,INE431F01018,599
PLASTIBLEN,INE083C01022,242.9
PNB,INE160A01022,175.2
PNBGILTS,INE859A01011,43.7
PNBHOUSING,INE572E01012,1304.3
PNC,INE392B01011,23.35
PNCINFRA,INE195J01029,188
POCHIRAJU,INE332G01032,6.5
PODDARHOUS,INE888B01018,1176.95
PODDARMENT,INE371C01013,307
POKARNA,INE637C01025,222
POLARIS,INE763A01023,424.7
POLYMED,INE205C01021,255
POLYPLEX,INE633B01018,518
PONNIERODE,INE838E01017,181.05
POWERGRID,INE752E01010,195.3
POWERMECH,INE211R01019,830.8
PPAP,INE095I01015,590
PRABHAT,INE302M01033,221.3
PRADIP,INE495J01015,2.95
PRAENG,INE505C01016,15.4
PRAJIND,INE074A01025,107.95
PRAKASH,INE603A01013,218.9
PRAKASHCON,INE023M01027,7.4
PRATIBHA,INE308H01022,9
PRAXIS,INE546Y01022,315
PRECAM,INE484I01029,119
PRECOT,INE283A01014,83.7
PRECWIRE,INE372C01029,266.5
PREMEXPLN,INE863B01011,440.9
PREMIER,INE342A01018,35.5
PREMIERPOL,INE309M01012,39.95
PRESSMN,INE980A01023,68.5
PRESTIGE,INE811K01011,325
PRICOLLTD,INE726V01018,111.9
PRIMESECU,INE032B01021,50.6
PRISMCEM,INE010A01011,142.7
PROVOGE,INE968G01033,6.6
PROZONINTU,INE195N01013,61.6
PSB,INE608A01012,45.95
PSL,INE474B01017,4.6
PSPPROJECT,INE488V01015,535
PSUBNKBEES,INF732E01110,414.34
PTC,INE877F01012,107.4
PTL,INE034D01031,56.5
PULZ,INE335X01014,48.55
PUNJABCHEM,INE277B01014,442.95
PUNJLLOYD,INE701B01021,23.7
PURVA,INE323I01011,153.1
PUSHPREALM,INE728W01012,82.75
PVP,INE362A01016,7.95
PVR,INE191H01014,1479.45
QGOLDHALF,INF082J01010,1353.9
QNIFTY,INF082J01028,1192.7
QUESS,INE615P01015,1017.9
QUICKHEAL,INE306L01010,351.2
RADAAN,INE874F01027,2.85
RADICO,INE944F01028,381.4
RADIOCITY,INE919I01016,382.55
RAIN,INE855B01025,404.75
RAINBOWPAP,INE028D01025,3.5
RAJESHEXPO,INE343B01030,833.65
RAJOIL,INE294G01018,2.5
RAJRAYON,INE533D01024,0.6
RAJSREESUG,INE562B01019,48.95
RAJTV,INE952H01027,58.2
RAJVIR,INE011H01014,47.55
RALLIS,INE613A01020,252.6
RAMANEWS,INE278B01020,29.35
RAMASTEEL,INE230R01027,274.75
RAMCOCEM,INE331A01037,773.3
RAMCOIND,INE614A01028,297
RAMCOSYS,INE246B01019,509.5
RAMGOPOLY,INE410D01017,4.85
RAMKY,INE874I01013,223.9
RAMSARUP,INE005D01015,2.15
RANASUG,INE625B01014,7.1
RANEENGINE,INE222J01013,593.95
RANEHOLDIN,INE384A01010,2564.8
RATNAMANI,INE703B01027,1067.9
RAYMOND,INE301A01014,1084.55
RBL,INE244J01017,1152.95
RBLBANK,INE976G01028,505.3
RCF,INE027A01015,98.75
RCOM,INE330H01018,31.05
RECLTD,INE020B01018,157.55
RECLTD,INE020B07GW6,1050
RECLTD,INE020B07GX4,1110.75
RECLTD,INE020B07HS2,1205
RECLTD,INE020B07IG5,1235
RECLTD,INE020B07JU4,1120
REDINGTON,INE891D01026,185.7
REFEX,INE056I01017,20.1
REGENCERAM,INE277C01012,7
RELAXO,INE131B01039,640
RELCAPITAL,INE013A01015,510.4
RELCNX100,INF204K014N5,116.82
RELCONS,INF204KA1LD7,52.61
RELDIVOPP,INF204KA1MS3,30.17
RELIABLE,INE375Y01018,62.5
RELIANCE,INE002A01018,964.5
RELIFIN,INE958G07858,1850
RELIGARE,INE621H01010,47.15
RELINFRA,INE036A01016,512.75
REMSONSIND,INE474C01015,88
RENUKA,INE087H01022,16
REPCOHOME,INE612J01015,637.6
REPRO,INE461B01014,750
RESPONIND,INE688D01026,39.4
REVATHI,INE617A01013,698.95
RHFL,INE217K01011,82.5
RHFL,INE217K07AC4,987.05
RHFL,INE217K07AE0,1000
RHFL,INE217K07AG5,1002
RHFL,INE217K08289,999.01
RICOAUTO,INE209B01025,89.5
RIIL,INE046A01015,572
RJL,INE722H01016,326
RKDL,INE722J01012,18.6
RKEC,INE786W01010,136
RKFORGE,INE399G01015,805
RMCL,INE172H01014,27
RMDRIP,INE219Y01018,71
RML,INE050H01012,895.9
RNAM,INE298J01013,290
RNAVAL,INE542F01012,48.75
ROHLTD,INE283H01019,219.4
ROLLT,INE927A01040,6.35
ROLTA,INE293A01013,70.6
ROSSELLIND,INE847C01020,114.9
RPGLIFE,INE105J01010,508.7
RPOWER,INE614G01033,47.7
RPPINFRA,INE324L01013,305.75
RRSLGETF,INF204KB1882,16.81
RSSOFTWARE,INE165B01029,70.9
RSWM,INE611A01016,364
RSYSTEMS,INE411H01032,43
RTNINFRA,INE834M01019,6.5
RTNPOWER,INE399K01017,7.45
RUBYMILLS,INE301D01026,392
RUCHINFRA,INE413B01023,5.25
RUCHIRA,INE803H01014,185.8
RUCHISOYA,INE619A01027,17.4
RUPA,INE895B01021,453.25
RUSHIL,INE573K01017,1004.25
SABEVENTS,INE860T01019,14.2
SABTN,INE416A01036,24.3
SADBHAV,INE226H01026,412.5
SADBHIN,INE764L01010,146.3
SAGCEM,INE229C01013,1019
SAIL,INE114A01011,91.35
SAKAR,INE732S01012,64.8
SAKHTISUG,INE623A01011,24.15
SAKSOFT,INE667G01015,226.55
SAKUMA,INE190H01016,153.8
SALASAR,INE170V01019,312.5
SALONA,INE498E01010,131
SALORAINTL,INE924A01013,52.15
SALSTEEL,INE658G01014,6.85
SALZERELEC,INE457F01013,213.7
SAMBHAAV,INE699B01027,12.75
SAMTEL,INE381A01016,1.5
SANCO,INE782L01012,47.15
SANDESH,INE583B01015,1213
SANGAMIND,INE495C01010,178
SANGHIIND,INE999B01013,125
SANGHVIFOR,INE263L01013,39.7
SANGHVIMOV,INE989A01024,167
SANGINITA,INE753W01010,50
SANOFI,INE058A01010,4975.1
SANWARIA,INE890C01046,24.25
SARDAEN,INE385C01013,558.5
SAREGAMA,INE979A01017,732
SARLAPOLY,INE453D01025,62.8
SASKEN,INE231F01020,777
SASTASUNDR,INE019J01013,118
SATHAISPAT,INE176C01016,28.4
SATIN,INE836B01017,489.95
SBILIFE,INE123W01016,681.5
SBIN,INE062A01020,316.6
SBIN,INE062A08025,11305
SBIN,INE062A08058,11654.95
SCAPDVR,INE224E01036,10.25
SCHAEFFLER,INE513A01014,5585.6
SCHAND,INE807K01035,479.9
SCHNEIDER,INE839M01018,121.5
SCI,INE109A01011,82.3
SDBL,INE480C01012,257.3
SEAMECLTD,INE497B01018,175.5
SECURCRED,INE195Y01010,212.5
SELAN,INE818A01017,226
SELMCL,INE105I01012,3.1
SENSEXIWIN,INF346A01034,375.08
SEPOWER,INE735M01018,9.25
SEQUENT,INE807F01027,88.55
SERVALL,INE431L01016,1.95
SERVOTECH,INE782X01017,38
SESHAPAPER,INE630A01016,1050
SETCO,INE878E01021,67.65
SETFGOLD,INF200K01099,2757
SETFNIF50,INF200KA1FS1,115
SETFNIFBK,INF200KA1580,275.5
SETFNN50,INF200KA1598,311
SEZAL,INE955I01036,4.4
SFL,INE916U01025,1607.5
SGBAUG24,IN0020160027,2822
SGBDEC25,IN0020170125,2972
SGBDEC2513,IN0020170158,2706
SGBFEB24,IN0020150101,2800
SGBJUL25,IN0020170034,2805
SGBMAR25,IN0020160126,2788
SGBMAY25,IN0020170018,2788
SGBNOV23,IN0020150085,2870
SGBNOV24,IN0020160076,2801
SGBOCT25,IN0020170059,2752
SGBSEP24,IN0020160043,2825
SGL,INE353H01010,19.2
SHAHALLOYS,INE640C01011,22.15
SHAKTIPUMP,INE908D01010,542
SHALBY,INE597J01018,242
SHALPAINTS,INE849C01026,194
SHANKARA,INE274V01019,1720.95
SHANTI,INE933X01016,43.5
SHANTIGEAR,INE631A01022,151.9
SHARDACROP,INE221J01015,444.9
SHARDAMOTR,INE597I01010,2350
SHARIABEES,INF732E01128,270
SHARONBIO,INE028B01029,6.95
SHEMAROO,INE363M01019,535
SHILPAMED,INE790G01031,578.8
SHILPI,INE510K01019,11.45
SHIRPUR-G,INE196B01016,165.1
SHIVAMAUTO,INE637H01024,85.5
SHIVATEX,INE705C01020,616.3
SHK,INE500L01026,305.6
SHOPERSTOP,INE498B01024,525
SHRADHA,INE715Y01015,69.45
SHREECEM,INE070A01015,17522.15
SHREEPUSHK,INE712K01011,276.8
SHREERAMA,INE879A01019,14.4
SHRENIK,INE632X01014,646
SHREYANIND,INE231C01019,190.9
SHREYAS,INE757B01015,594.9
SHRIPISTON,INE526E01018,1800
SHRIRAMCIT,INE722A01011,2069
SHRIRAMCIT,INE722A07471,1057
SHRIRAMEPC,INE964H01014,29.6
SHYAMCENT,INE979R01011,11.8
SICAGEN,INE176J01011,46.95
SICAL,INE075B01012,221.9
SIEMENS,INE003A01024,1331.3
SIGNET,INE529F01027,8.3
SIIL,INE971P01012,65.7
SIKKO,INE112X01017,35.5
SIL,INE173A01025,23.4
SILINV,INE923A01015,485
SILLYMONKS,INE203Y01012,162
SILVERTUC,INE625X01018,122.5
SIMBHALS,INE748T01016,23.25
SIMPLEX,INE898F01018,36.25
SIMPLEXINF,INE059B01024,610
SINTEX,INE429C01035,23.4
SIS,INE285J01010,1216
SITASHREE,INE686I01011,4.95
SITINET,INE965H01011,23.55
SIYSIL,INE076B01028,700
SJVN,INE002L01015,34.6
SKFINDIA,INE640A01023,1802
SKIL,INE429F01012,48.05
SKIPPER,INE439E01022,247.9
SKMEGGPROD,INE411D01015,84.5
SKML,INE672X01010,58
SKSTEXTILE,INE507Y01016,95.5
SMARTLINK,INE178C01020,119.7
SMLISUZU,INE294B01019,848
SMPL,INE215G01021,1.65
SMSLIFE,INE320X01016,421.95
SMSPHARMA,INE812G01025,100
SMVD,INE702Y01013,39
SNOWMAN,INE734N01019,57.3
SOBHA,INE671H01015,575.5
SOLARINDS,INE343H01029,1094
SOMANYCERA,INE355A01028,760.55
SOMATEX,INE314C01013,14.65
SOMICONVEY,INE323J01019,70.9
SONASTEER,INE643A01035,109.2
SONATSOFTW,INE269A01021,308
SORILHOLD,INE126M01010,256
SORILINFRA,INE034H01016,263.95
SOTL,INE035D01012,1439.45
SOUTHBANK,INE683A01023,30.65
SPAL,INE212I01016,382.5
SPARC,INE232I01014,475.25
SPECIALITY,INE247M01014,165.9
SPENTEX,INE376C01020,6.2
SPHEREGSL,INE737B01033,41.8
SPIC,INE147A01011,44.9
SPICEMOBI,INE927C01020,23.7
SPLIL,INE978G01016,25.8
SPMLINFRA,INE937A01023,137.45
SPTL,INE501W01021,75.5
SPYL,INE268L01020,0.7
SQSBFSI,INE201K01015,529
SREEL,INE099F01013,272
SREIBNPNCD,INE881J07DO8,1075
SREIBNPNCD,INE881J07DV3,1010
SREIBNPNCD,INE881J07EE7,1085
SREIBNPNCD,INE881J07EG2,993
SREIBNPNCD,INE881J07EL2,1004
SREIBNPNCD,INE881J07EN8,1057
SREIBNPNCD,INE881J08573,1005.44
SREIBNPNCD,INE881J08631,1010
SREIBNPNCD,INE881J08649,1045
SREINFRA,INE872A01014,97.2
SREINFRA,INE872A07SS5,1070
SREINFRA,INE872A07UA9,1012
SREINFRA,INE872A07UD3,1052
SREINFRA,INE872A07UF8,989
SREINFRA,INE872A07UJ0,1100
SRF,INE647A01010,1827.95
SRHHYPOLTD,INE917H01012,196
SRIPIPES,INE943C01027,387
SRIRAM,INE634W01012,20.3
SRSLTD,INE219H01039,1.5
SRTRANSFIN,INE721A01013,1405
SRTRANSFIN,INE721A07FV5,548.21
SRTRANSFIN,INE721A07GS9,1179
SRTRANSFIN,INE721A07HI8,1072.1
SSWL,INE802C01017,1128
STAMPEDE,INE224E01028,16.8
STAN,INE028L21018,67.95
STAR,INE939A01011,785
STARCEMENT,INE460H01021,129
STARPAPER,INE733A01018,275.85
STCINDIA,INE655A01013,163.75
STEELCITY,INE395H01011,121.5
STEELXIND,INE503B01013,33.75
STEL,INE577L01016,118.8
STERLINBIO,INE324C01038,3.8
STERTOOLS,INE334A01023,406.05
STINDIA,INE090C01019,20
STRTECH,INE089C01029,381
SUBEX,INE754A01014,10.25
SUBROS,INE287B01021,354.8
SUDARSCHEM,INE659A01023,464.95
SUJANAUNI,INE216G01011,1.1
SUMEETINDS,INE235C01010,28.65
SUMMITSEC,INE519C01017,1088.1
SUNCLAYLTD,INE105A01035,4929.9
SUNDARAM,INE108E01023,4.45
SUNDARMFIN,INE660A01013,1899
SUNDRMBRAK,INE073D01013,632.25
SUNDRMFAST,INE387A01021,536.7
SUNFLAG,INE947A01014,84.6
SUNILHITEC,INE305H01028,13
SUNPHARMA,INE044A01036,594.9
SUNTECK,INE805D01034,434.6
SUNTV,INE424H01027,1030
SUPERHOUSE,INE712B01010,168.9
SUPERSPIN,INE662A01027,17.85
SUPPETRO,INE663A01017,377
SUPRAJIT,INE399C01030,311.75
SUPREMEIND,INE195A01028,1339.7
SUPREMEINF,INE550H01011,127
SUPREMETEX,INE651G01027,2.6
SURANAIND,INE659D01019,3.85
SURANASOL,INE272L01022,17.5
SURANAT&P,INE130B01031,6
SURYALAXMI,INE713B01026,91.95
SURYAROSNI,INE335A01012,414.2
SUTLEJTEX,INE645H01027,100.7
SUVEN,INE495B01038,231.45
SUZLON,INE040H01021,14.8
SWANENERGY,INE665A01038,217.9
SWARAJENG,INE277A01016,2017
SWELECTES,INE409B01013,465
SYMPHONY,INE225D01027,1863.8
SYNCOM,INE602K01014,6.7
SYNDIBANK,INE667A01018,73.65
SYNGENE,INE398R01022,625
TAINWALCHM,INE123C01018,107.35
TAJGVK,INE586B01026,184.75
TAKE,INE142I01023,169.95
TALBROAUTO,INE187D01011,313
TALWALKARS,INE502K01016,315.5
TANLA,INE483C01032,34.65
TANTIACONS,INE388G01018,18.1
TARAJEWELS,INE799L01016,17.2
TARAPUR,INE747K01017,7.7
TARMAT,INE924H01018,67
TASTYBITE,INE488B01017,9190
TATACHEM,INE092A01019,722
TATACOFFEE,INE493A01027,147.35
TATACOMM,INE151A01013,625
TATAELXSI,INE670A01012,1088.45
TATAGLOBAL,INE192A01025,303.7
TATAINVEST,INE672A01018,860.75
TATAMETALI,INE056C01010,913.05
TATAMOTORS,INE155A01022,400.95
TATAMTRDVR,IN9155A01020,225.95
TATAPOWER,INE245A01021,91.2
TATASPONGE,INE674A01014,1120
TATASTEEL,INE081A01012,747.9
TBZ,INE760L01018,129.15
TCFSL,INE306N07BM6,1120
TCI,INE688A01022,281.5
TCIDEVELOP,INE662L01016,499.95
TCIEXP,INE586V01016,541
TCIFINANCE,INE911B01018,36.75
TCPLPACK,INE822C01015,670
TCS,INE467B01029,3150
TDPOWERSYS,INE419M01019,193.9
TEAMLEASE,INE985S01024,2320
TECHIN,INE778A01021,11.35
TECHM,INE669C01036,626.2
TECHNO,INE286K01024,387.55
TECHNOFAB,INE509K01011,249
TEJASNET,INE010J01012,394.6
TERASOFT,INE482B01010,68.95
TEXINFRA,INE435C01024,68.4
TEXMOPIPES,INE141K01013,25.45
TEXRAIL,INE621L01012,105.7
TFCILTD,INE305A01015,161.2
TFL,INE804H01012,13.15
TGBHOTELS,INE797H01018,55.55
THANGAMAYL,INE085J01014,573
THEMISMED,INE083B01016,611.95
THERMAX,INE152A01029,1260
THIRUSUGAR,INE409A01015,54
THOMASCOOK,INE332A01027,239.6
THYROCARE,INE594H01019,692.05
TI,INE133E01013,19.35
TIDEWATER,INE484C01022,6973.7
TIFIN,INE149A01033,699.25
TIIL,INE545H01011,567.95
TIINDIA,INE974X01010,268.95
TIJARIA,INE440L01017,13.95
TIL,INE806C01018,625
TIMESGTY,INE289C01025,66.9
TIMETECHNO,INE508G01029,189.2
TIMKEN,INE325A01013,905.95
TINPLATE,INE422C01014,266.5
TIPSINDLTD,INE716B01011,108.6
TIRUMALCHM,INE338A01016,2064.9
TIRUPATIFL,INE319Y01016,59.4
TITAN,INE280A01028,884.95
TMRVL,INE759V01019,155
TNPETRO,INE148A01019,59.9
TNPL,INE107A01015,429
TNTELE,INE141D01018,2.45
TOKYOPLAST,INE932C01012,126.3
TORNTPHARM,INE685A01028,1369.95
TORNTPOWER,INE813H01021,290.75
TOTAL,INE336X01012,58
TOUCHWOOD,INE486Y01013,59
TPLPLASTEH,INE413G01014,674
TRANSWIND,INE792X01016,33.05
TREEHOUSE,INE040M01013,14.15
TRENT,INE849A01020,321.95
TRF,INE391D01019,236
TRIDENT,INE064C01014,80
TRIGYN,INE948A01012,164.25
TRIL,INE763I01026,36.5
TRITURBINE,INE152M01016,130.1
TRIVENI,INE256C01024,66.5
TTKHLTCARE,INE910C01018,840.15
TTKPRESTIG,INE690A01010,7499.25
TTL,INE592B01016,113.35
TTML,INE517B01013,7.1
TULSI,INE474I01012,2.95
TV18BRDCST,INE886H01027,63.35
TVSELECT,INE236G01019,395
TVSMOTOR,INE494B01023,712
TVSSRICHAK,INE421C01016,3640.1
TVTODAY,INE038F01029,461.7
TVVISION,INE871L01013,19.95
TWL,INE615H01020,158.45
UBL,INE686F01025,1155.5
UCALFUEL,INE139B01016,294.25
UCOBANK,INE691A01018,31.7
UFLEX,INE516A01017,442.5
UFO,INE527H01019,469.95
UGARSUGAR,INE071E01023,23.75
UJAAS,INE899L01022,25.5
UJJIVAN,INE334L01012,385.75
ULTRACEMCO,INE481G01011,4405.9
UMANGDAIRY,INE864B01027,101.75
UMESLTD,INE240C01028,1.45
UNICHEMLAB,INE351A01035,362.05
UNIENTER,INE037A01022,96.2
UNIONBANK,INE692A01016,137
UNIPLY,INE950G01015,461.95
UNITECH,INE694A01020,8.85
UNITEDBNK,INE695A01019,16.9
UNITEDTEA,INE458F01011,452.7
UNITY,INE466H01028,7.1
UNIVCABLES,INE279A01012,163
UPL,INE628A01036,777
UPL,INE628A03024,16.1
URJA,INE550C01020,9.35
USHAMART,INE228A01035,27.15
USHERAGRO,INE235G01011,8.2
UTIFEFRGR4,INF789FC1T29,8.7
UTINEXT50,INF789FC1N82,309.25
UTINIFTETF,INF789FB1X41,1143
UTISENSETF,INF789FB1X58,373.9
UTTAMSTL,INE699A01011,21.8
UTTAMSUGAR,INE786F01031,119.4
UVSL,INE292A01023,0.35
V2RETAIL,INE945H01013,442.1
VADILALIND,INE694D01016,861
VAIBHAVGBL,INE884A01019,760
VAISHALI,INE972X01014,70.25
VAKRANGEE,INE051B01021,447.95
VALUEIND,INE352A01017,8
VARDHACRLC,INE116G01013,49.85
VARDMNPOLY,INE835A01011,34.5
VASCONEQ,INE893I01013,42.3
VASWANI,INE590L01019,16
VBL,INE200M01013,698
VEDL,INE205A01025,346.45
VEDL,INE205A04011,10.55
VENKEYS,INE398A01010,2785
VENUSREM,INE411B01019,91.7
VERTOZ,INE188Y01015,214
VESUVIUS,INE386A01015,1436
VETO,INE918N01018,223.5
VGUARD,INE951I01027,235.95
VHL,INE701A01023,4878.95
VICEROY,INE048C01017,18.15
VIDEOIND,INE703A01011,18.8
VIDHIING,INE632C01026,94.65
VIJAYABANK,INE705A01016,65
VIJIFIN,INE159N01027,11.75
VIJSHAN,INE806F01011,26.7
VIKASECO,INE806A01020,42.1
VIMTALABS,INE579C01029,221
VINATIORGA,INE410B01029,957.7
VINDHYATEL,INE707A01012,1140
VINYLINDIA,INE250B01029,109.85
VIPCLOTHNG,INE450G01024,78.45
VIPIND,INE054A01027,345.65
VIPULLTD,INE946H01037,74.5
VISAKAIND,INE392A01013,759.9
VISASTEEL,INE286H01012,19.3
VISESHINFO,INE861A01058,0.2
VISHNU,INE270I01014,396
VIVIDHA,INE370E01029,1.25
VIVIMEDLAB,INE526G01021,90.45
VLSFINANCE,INE709A01018,91.65
VMART,INE665J01013,1542.1
VOLTAMP,INE540H01012,1069
VOLTAS,INE226A01021,616
VRLLOG,INE366I01010,449.95
VSCL,INE551Q01028,124.05
VSSL,INE050M01012,154
VSTIND,INE710A01016,3295.5
VSTTILLERS,INE764D01017,2379.75
VTL,INE825A01012,1344.95
WABAG,INE956G01038,616
WABCOINDIA,INE342J01019,7584.9
WALCHANNAG,INE711A01022,222.55
WANBURY,INE107F01022,43
WEALTH,INE658T01017,81.2
WEBELSOLAR,INE855C01015,123
WEIZFOREX,INE726L01019,1200
WEIZMANIND,INE080A01014,50.75
WELCORP,INE191B01025,171.5
WELENT,INE625G01013,178.25
WELINV,INE389K01018,213.15
WELSPUNIND,INE192B01031,70.75
WENDT,INE274C01019,3329.95
WHEELS,INE715A01015,2224
WHIRLPOOL,INE716A01013,1485.8
WILLAMAGOR,INE210A01017,119.7
WINDMACHIN,INE052A01021,125.2
WINSOME,INE784B01035,2.25
WIPL,INE215F01023,73
WIPRO,INE075A01022,308.95
WOCKPHARMA,INE049B01025,828
WONDERLA,INE066O01014,388
WORTH,INE196Y01018,107
WSI,INE100D01014,7.3
WSTCSTPAPR,INE976A01021,288.25
XCHANGING,INE692G01013,60.85
XLENERGY,INE183H01011,3.95
XPROINDIA,INE445C01015,55
YESBANK,INE528G01027,356.55
ZANDUREALT,INE719A01017,2210
ZEEL,INE256A01028,607.2
ZEEL,INE256A04022,10.2
ZEELEARN,INE565L01011,44.6
ZEEMEDIA,INE966H01019,43.75
ZENITHBIR,INE318D01020,0.9
ZENITHEXPO,INE058B01018,56.75
ZENSARTECH,INE520A01019,965
ZENTEC,INE251B01027,125
ZICOM,INE871B01014,25.6
ZODIAC,INE761Y01019,43.75
ZODIACLOTH,INE206B01013,218.7
ZODJRDMKJ,INE077B01018,48.9
ZOTA,INE358U01012,209.55
ZUARI,INE840M01016,496.2
ZUARIGLOB,INE217A01012,208.95
ZYDUSWELL,INE768C01010,1015
ZYLOG,INE225I01026,4.15
